Musarty DB ID,API,Model ID,Model Name,Provider,Context,Tags,Categories,Key Capabilities,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4,Description,Logo Image url,Online,Idle,Ofline,UI Template ID,Use Case,Musarty ID,Template ID,API Endpoint URL
,AI Gateway,meta/llama-3.2-3b,Llama 3.2 3B,Meta,128K,,,"On-device, Multilingual, Summarization, Rewrite",On-device,Multilingual,Summarization,Rewrite,"A 3B parameter instruction-tuned Llama model for on-device scenarios. It excels at multilingual local knowledge retrieval, summarization, and rewriting tasks, providing a balance of capability and efficiency for edge applications",,,,,,,meta/llama-3.2-3b,meta/llama-3.2-3b,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/devstral-small,Devstral Small,Mistral AI,128K,,,"Agentic, Tool-using, Codebases, Files",Agentic,Tool-using,Codebases,Files,"An agentic LLM for software engineering created in collaboration between Mistral AI and All Hands AI. Devstral Small specializes in using tools (like search and editors) to explore large codebases, edit multiple files, and assist software agents in complex coding tasks",,,,,,,mistral/devstral-small,mistral/devstral-small,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/mistral-medium,Mistral Medium,Mistral AI,128K,,,"Cost-effective, Performance, Cheap, Versatile",Cost-effective,Performance,Cheap,Versatile,"Mistral Medium 3 is an order-of-magnitude cheaper model that still achieves ~90% of Claude 3.7 Sonnet’s performance on benchmarks. It offers high-end reasoning and language capabilities at a significantly lower cost, making frontier AI much more accessible",,,,,,,mistral/mistral-medium,mistral/mistral-medium,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/o1,OpenAI o1,OpenAI,200K,,,"Reasoning, Problem-solving, Safety",Reasoning,Problem-solving,Safety,,"OpenAI’s first reasoning-specialized model, O1 is designed for complex multi-step problems requiring deep thought. It generates hidden chains-of-thought to improve accuracy on tasks like math and science, achieving PhD-level performance on exams and greatly surpassing GPT-4 in reasoning-heavy benchmarks",,,,,,,openai/o1,openai/o1,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/ministral-8b,Ministral 8B,Mistral AI,128K,,,"Edge, Powerful, Inference, Tasks",Edge,Powerful,Inference,Tasks,An 8B parameter model that offers more power than the 3B version while remaining memory-efficient and fast. Ministral 8B is ideal for more complex on-device workflows and demanding edge applications that require a stronger local AI with minimal latency,,,,,,,mistral/ministral-8b,mistral/ministral-8b,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3.2-90b,Llama 3.2 90B,Meta,128K,,,"Vision, Reasoning, Captioning, QA",Vision,Reasoning,Captioning,QA,"A 90B parameter multimodal Llama model instruction-tuned for vision tasks. Llama 3.2-90B can ingest text and images to perform visual recognition, reasoning, image captioning, and answering questions about images, representing Meta’s state-of-the-art in image understanding",,,,,,,meta/llama-3.2-90b,meta/llama-3.2-90b,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3.1-70b,Llama 3.1 70B,Meta,128K,,,"Context, Multilingual, Reasoning, Model",Context,Multilingual,Reasoning,Model,"An update to Meta’s Llama 3 70B instruct model that adds a 128K token context window, stronger multilingual abilities, and improved reasoning skills. Llama 3.1-70B is better equipped for lengthy inputs and more complex tasks than its predecessor",,,,,,,meta/llama-3.1-70b,meta/llama-3.1-70b,https://gateway.ai.vercel.com/v1
,AI Gateway,inception/mercury-coder-small,Mercury Coder Small,Inception,32K,,,"Generation, Debugging, Refactoring, Latency",Generation,Debugging,Refactoring,Latency,"A lightweight code assistant model by Inception, ideal for generating code, debugging issues, and refactoring with very low latency. Mercury Coder Small focuses on rapid responses for software development tasks without heavy compute requirements",,,,,,,inception/mercury-coder-small,inception/mercury-coder-small,https://gateway.ai.vercel.com/v1
,AI Gateway,google/text-embedding-005,Text-Embedding-005,Google,N/A,,,"English, Embeddings, Search, Vertex",English,Embeddings,Search,Vertex,"Google’s latest English-focused text embedding model, tuned for code and natural language tasks. It generates embeddings that capture semantic meaning in English text and source code, improving relevance in search and ML tasks",,,,,,,google/text-embedding-005,google/text-embedding-005,https://gateway.ai.vercel.com/v1
,AI Gateway,cohere/command-r,Command R,Cohere,128K,,,"Conversational, Context, Accuracy, Production",Conversational,Context,Accuracy,Production,"A large language model from Cohere optimized for open-ended conversational interactions and long-context tasks. Command R balances high performance with strong accuracy, making it suitable for moving conversational AI applications from prototyping into production environments",,,,,,,cohere/command-r,cohere/command-r,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/magistral-medium,Magistral Medium,Mistral AI,128K,,,"Reasoning, Understanding, Cross-lingual, Complex",Reasoning,Understanding,Cross-lingual,Complex,"The medium variant of Magistral delivers complex reasoning backed by deep understanding, with fully traceable chains-of-thought. It maintains high-fidelity logical reasoning across numerous languages, even switching languages within a task, for rigorous multi-lingual applications",,,,,,,mistral/magistral-medium,mistral/magistral-medium,https://gateway.ai.vercel.com/v1
,AI Gateway,cohere/embed-v4.0,Embed v4.0,Cohere,N/A,,,"Embeddings, Classification, Versatile, Dimensional",Embeddings,Classification,Versatile,Dimensional,"Cohere’s v4.0 embedding model can handle text, images, or mixed content, producing embeddings useful for classification or semantic similarity. It supports multimodal data and generates rich feature vectors for various content types",,,,,,,cohere/embed-v4.0,cohere/embed-v4.0,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3.2-11b,Llama 3.2 11B,Meta,128K,,,"Vision, QA, Captioning, Reasoning",Vision,QA,Captioning,Reasoning,"An 11B parameter vision-and-language model in Llama 3.2 series. It accepts images and text as input and is tuned for tasks like visual recognition, image-based reasoning, and caption generation, providing advanced multimodal understanding in a smaller model",,,,,,,meta/llama-3.2-11b,meta/llama-3.2-11b,https://gateway.ai.vercel.com/v1
,AI Gateway,cohere/command-r-plus,Command R+,Cohere,128K,,,"Conversational, Context, Performant, Production",Conversational,Context,Performant,Production,"Cohere’s newest large model, Command R+ builds on Command R to offer even higher performance for long-form conversations and complex instructions. It is engineered for production at scale, enabling enterprises to deploy highly accurate, long-context conversational AI solutions",,,,,,,cohere/command-r-plus,cohere/command-r-plus,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-3.5-lite,Voyage 3.5 Lite,Voyage AI,N/A,,,"Latency, Cost-effective, General, Multilingual",Latency,Cost-effective,General,Multilingual,Voyage AI’s lightweight embedding model aimed at low-latency and low-cost deployments. Voyage 3.5 Lite produces embeddings suitable for general-purpose semantic search and retrieval tasks while minimizing computational overhead,,,,,,,voyage/voyage-3.5-lite,voyage/voyage-3.5-lite,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-code-2,Voyage Code 2,Voyage AI,N/A,,,"Code, Embeddings, Generation, Search",Code,Embeddings,Generation,Search,An embedding model optimized for code retrieval tasks. Voyage Code 2 provides vector representations tailored for searching and retrieving code (about 17% better than earlier alternatives) and represents the previous generation of Voyage’s code-focused embeddings,,,,,,,voyage/voyage-code-2,voyage/voyage-code-2,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-law-2,Voyage Law 2,Voyage AI,N/A,,,"Legal, RAG, Jurisdiction, Retrieval",Legal,RAG,Jurisdiction,Retrieval,"Voyage AI’s embedding model specialized for legal documents. Voyage Law 2 generates embeddings that capture legal semantics, improving retrieval and RAG systems for law (e.g. case law, contracts) by understanding domain-specific terminology and context",,,,,,,voyage/voyage-law-2,voyage/voyage-law-2,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-finance-2,Voyage Finance 2,Voyage AI,N/A,,,"Finance, RAG, Domain, Retrieval",Finance,RAG,Domain,Retrieval,"An embedding model optimized for financial documents and data. Voyage Finance 2 captures the nuanced language of finance to improve retrieval augmented generation in financial applications, enabling better search through reports, filings, and market data",,,,,,,voyage/voyage-finance-2,voyage/voyage-finance-2,https://gateway.ai.vercel.com/v1
,AI Gateway,google/text-multilingual-embedding-002,Text Multilingual Embedding 002,Google,N/A,,,"Cross-lingual, Languages, Nuance, Search",Cross-lingual,Languages,Nuance,Search,"Google’s multilingual embedding model designed for cross-lingual tasks. It produces embeddings that align meanings across many languages, facilitating tasks like multilingual semantic search and clustering with a single model",,,,,,,google/text-multilingual-embedding-002,google/text-multilingual-embedding-002,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-3.5,Voyage 3.5,Voyage AI,N/A,,,"General, Retrieval, Balanced, RAG",General,Retrieval,Balanced,RAG,"Voyage AI’s main embedding model for general and multilingual retrieval tasks. Voyage 3.5 offers a strong balance of retrieval quality and efficiency, making it suitable for a wide range of search and recommendation systems that operate in multiple languages",,,,,,,voyage/voyage-3.5,voyage/voyage-3.5,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-code-3,Voyage Code 3,Voyage AI,N/A,,,"Code, Generation, Search, Developer",Code,Generation,Search,Developer,"The latest generation of Voyage’s code embedding models, offering improved embeddings for code snippets and functions. Voyage Code 3 enhances code search and retrieval tasks, making it easier to find relevant code in large repositories or assist developer tools",,,,,,,voyage/voyage-code-3,voyage/voyage-code-3,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-3-large,Voyage 3 Large,Voyage AI,N/A,,,"Quality, Multilingual, Retrieval, Larger",Quality,Multilingual,Retrieval,Larger,"Voyage AI’s largest and most powerful embedding model, providing the best general-purpose and multilingual retrieval quality in the Voyage series. Voyage 3 Large’s embeddings achieve top-tier performance on similarity and search tasks at the cost of higher computational demand",,,,,,,voyage/voyage-3-large,voyage/voyage-3-large,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3-8b,Llama 3 8B,Meta,8K,,,"Open-source, Instruction, Inference, Accelerated",Open-source,Instruction,Inference,Accelerated,"An 8B parameter open-source Llama 3 model fine-tuned for instruction following. It’s served on Groq’s specialized hardware (LPUs) to provide fast and efficient inference, making it practical for applications needing a smaller model with reliable performance",,,,,,,meta/llama-3-8b,meta/llama-3-8b,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-3.5-turbo-instruct,GPT-3.5 Turbo Instruct,OpenAI,8K,,,"Legacy, Completion, Compatibility, Stable",Legacy,Completion,Compatibility,Stable,"An instruction-tuned version of GPT-3.5 that behaves similarly to the older GPT-3 models. GPT-3.5-Turbo-Instruct is compatible with the legacy completions API (not just the chat API), making it useful for applications that require the classic completion style interface while offering GPT-3.5 level capability",,,,,,,openai/gpt-3.5-turbo-instruct,openai/gpt-3.5-turbo-instruct,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3-70b,Llama 3 70B,Meta,8K,,,"Open-source, Instruction, Serving, Performance",Open-source,Instruction,Serving,Performance,"A 70B parameter open-source model (Llama 3) fine-tuned for following instructions. It is deployed on Groq’s LPUs for efficient inference, providing high performance on complex tasks while being accessible to the community for custom deployments",,,,,,,meta/llama-3-70b,meta/llama-3-70b,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/pixtral-large,,128k,,,,Document chart,Image-grounded,Table OCR,Multimodal RAG,"Multimodal Mistral model built for rich image understanding, document parsing, and text-image reasoning.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,perplexity/sonar-reasoning-pro,,127k,,,,Search-grounded answers,Multi-hop retrieval,Source citations,Stepwise output,Perplexity’s long-context model optimized for multi-hop search and source-grounded answers.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/mixtral-8x22b-instruct,,66k,,,,Strong instruction,Code generation,Function tool,Long-context,"Sparse Mixture-of-Experts model delivering strong instruction following, coding, and long-context performance.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3.2-3b,,128k,,,,Lightweight chat,Multilingual responses,Summarization rewrite,classification extraction,"Lightweight Llama 3.2 variant for fast multilingual chat, summarization, and everyday tasks.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/devstral-small,,128k,,,,Agentic coding,Multi-file edits,Test generation,Codebase navigation,Compact agentic code assistant designed for repository-wide edits and automated testing.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/mistral-medium,,128k,,,,Balanced general,RAG-friendly generation,Tool use,Multilingual task,"Balanced Mistral release offering enterprise-grade text generation, RAG, and tool-use capabilities.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,openai/o1,,200k,,,,Advanced step-by-step,Math science,Planning decomposition,Coding with,OpenAI’s first “o-series” model focused on deep step-by-step reasoning and complex problem solving.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/ministral-8b,,128k,,,,Fast small-footprint,Few-shot task,Tool function,coding assistance,Efficient 8B model tuned for quick inference and capable multilingual generation.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3.2-90b,,128k,,,,Vision-language QA,Complex visual,Document image,Detailed captioning,High-capacity vision-enabled Llama model for advanced image-text reasoning and detailed visual Q&A.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3.1-70b,,128k,,,,High-quality long-form,Complex logic,Multilingual understanding,Code generation,Flagship Llama 3.1 model delivering state-of-the-art open-weight performance across languages and code.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,inception/mercury-coder-small,,32k,,,,Rapid code,Refactor explain,Bug localization,Project scaffolding,Diffusion-based code generator built for ultra-fast multi-token output and reliable program synthesis.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,google/text-embedding-005,,N/A,,,,High-quality text,Code-aware semantics,Semantic search,Clustering similarity,Google’s latest high-quality English text and code embedding model for search and retrieval.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,cohere/command-r,,128k,,,,Long-context conversational,RAG orchestration,Tool API,Multilingual customer,Cohere’s long-context conversational model optimized for retrieval-augmented generation and tool use.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,mistral/magistral-medium,,128k,,,,Transparent stepwise,Logic math,Structured explanations,Error checking,Mistral reasoning model providing transparent chain-of-thought and strong math and logic skills.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,cohere/embed-v4.0,,N/A,,,,Text image,Cross-modal search,Classification vectors,Multilingual retrieval,Multimodal embedding model creating unified vectors for both text and images.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3.2-11b,,128k,,,,Mid-size vision-language,Charts tables,Image text,Grounded explanations,Mid-sized Llama with integrated vision support for image description and visual question answering.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,cohere/command-r-plus,,128k,,,,Higher-accuracy long-context,RAG +,Complex multi-step,Enterprise dialogue,Enhanced Command-R variant with higher accuracy and reliability for complex long-context tasks.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-3.5-lite,,N/A,,,,Low-latency embeddings,Multilingual retrieval,Matryoshka dimensions,RAG search,Lightweight Voyage 3.5 embedding model offering top retrieval quality at minimal cost.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-code-2,,N/A,,,,Code-focused embeddings,Function snippet,Repository similarity,Semantic code,Embedding model specialized for source-code semantics and precise code search.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-law-2,,N/A,,,,Legal-domain embeddings,Clause provision,Citation precedent,Cross-jurisdiction similarity,"Legal-domain embedding model tuned for contracts, statutes, and case-law retrieval.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-finance-2,,N/A,,,,Finance-domain embeddings,Ticker entity,Numeric-aware similarity,Report filing,"Finance-focused embedding model for accurate analysis of reports, filings, and financial text.",,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,google/text-multilingual-embedding-002,,N/A,,,,Multilingual embeddings,Cross-lingual alignment,Semantic search,Clustering across,Google’s cross-lingual embedding model enabling high-quality multilingual semantic search.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-3.5,,N/A,,,,SOTA general,Multilingual retrieval,Flexible dimensions,RAG-optimized similarity,Flagship Voyage 3.5 embedding model delivering state-of-the-art multilingual retrieval.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-code-3,,N/A,,,,Next-gen code,Improved snippet,Repo-level search,Code QA,Next-generation Voyage code embedding model with improved repository-level search accuracy.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,voyage/voyage-3-large,,N/A,,,,Top-tier retrieval,Multilingual general,Flexible vector,Long-context support,Top-tier Voyage embedding model with flexible vector sizes and leading retrieval performance.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3-8b,,8k,,,,Open-source chat,Summarization rewrite,,Entry-level coding,Efficient 8B-parameter Llama 3 offering strong open-weight text generation and coding ability.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,openai/gpt-3.5-turbo-instruct,,8k,,,,Completion-style instruct,Data extraction,Rewrite editing,Lightweight coding,Instruction-tuned GPT-3.5 variant for completion-style prompts and direct task execution.,,,,,,,,,https://gateway.ai.vercel.com/v1
,AI Gateway,,meta/llama-3-70b,,8k,,,,Strong instruction,Advanced,Code generation,Multilingual tasks,Large-scale Llama 3 delivering high-accuracy multilingual generation and advanced coding support.,,,,,,,,,https://gateway.ai.vercel.com/v1
